ak,bk
0,0
2235.24645176,0
4739.93118096,0
7446.0525252,0
10314.0077071,0
13313.07465,0
16417.08008032,0
19602.73330026,0
22848.8493435,0
25990.44656456,0.00145502
28619.07079148,0.0082697
30500.39927595,0.022621
31597.693328,0.04472298
32007.22576651,0.07347203
31870.98302968,0.10731956
31324.24597291,0.14479591
30477.44407275,0.18469154
29415.21714276,0.2260661
28201.07674588,0.26820151
26882.66651028,0.31054896
25496.08645684,0.35268525
24069.08485511,0.39428041
22623.31437424,0.43507459
21175.90328599,0.47486188
19740.54980465,0.51347872
18328.291323,0.55079572
16948.05346584,0.58671151
15607.04982184,0.62114819
14311.07977146,0.65404775
13064.75608067,0.68536925
11871.68345355,0.71508647
10734.60228336,0.74318593
9655.50722077,0.7696652
8635.74709686,0.79453143
7676.11067729,0.81780004
6776.90134018,0.83949353
5938.00283839,0.85964047
5158.93767802,0.87827452
4438.91922085,0.89543361
3776.89833086,0.91115914
3171.60519135,0.92549534
2621.58678735,0.93848862
2125.24045897,0.95018704
1680.84386987,0.9606398
1286.58169247,0.96989683
940.56928122,0.9780084
640.87358228,0.98502479
385.53151053,0.99099599
172.56600987,0.99597148
0,1
