ak,bk
0,0
5000,0
10000,0
13600,0
14736.35546875,0.02031916
15689.20703125,0.03697486
16266.609375,0.05948764
16465.00390625,0.08789498
16297.62109375,0.12200361
15791.59765625,0.1614415
14985.26953125,0.20570326
13925.51953125,0.2541886
12665.29296875,0.30623537
11261.23046875,0.36114502
9771.40625,0.41820228
8253.2109375,0.47668815
6761.33984375,0.53588659
5345.9140625,0.59508425
4050.71777344,0.65356457
2911.56933594,0.71059442
1954.80517578,0.76540524
1195.88989258,0.81716698
638.14892578,0.86495584
271.62646484,0.90771586
72.06358337,0.94421321
0,0.97298521
0,0.9922815
0,1
