ak,bk
    0.00000000000000000     ,           0.00000000000000000
 2000.00000000000000000     ,           0.00000000000000000
 4000.00000000000000000     ,           0.00000000000000000
 6000.00000000000000000     ,           0.00000000000000000
 8000.00000000000000000     ,           0.00000000000000000
 9988.88281250000000000     ,           0.00019711560162250
11914.52343750000000000     ,           0.00151129183359444
13722.94140625000000000     ,           0.00488415732979774
15369.73046875000000000     ,           0.01107617467641830
16819.47656250000000000     ,           0.02067789062857628
18045.18359375000000000     ,           0.03412116318941116
19027.69531250000000000     ,           0.05169040709733963
19755.10937500000000000     ,           0.07353383302688599
20222.20703125000000000     ,           0.09967470169067383
20429.86328125000000000     ,           0.13002252578735352
20384.48046875000000000     ,           0.16438430547714233
20097.40234375000000000     ,           0.20247596502304077
19584.32812500000000000     ,           0.24393314123153687
18864.75000000000000000     ,           0.28832292556762695
17961.35937500000000000     ,           0.33515489101409912
16899.46875000000000000     ,           0.38389217853546143
15706.44921875000000000     ,           0.43396294116973877
14411.12500000000000000     ,           0.48477160930633545
13043.21875000000000000     ,           0.53570991754531860
11632.75781250000000000     ,           0.58616840839385986
10209.50000000000000000     ,           0.63554745912551880
 8802.35546875000000000     ,           0.68326860666275024
 7438.80468750000000000     ,           0.72878581285476685
 6144.31640625000000000     ,           0.77159661054611206
 4941.77734375000000000     ,           0.81125342845916748
 3850.91333007812500000     ,           0.84737491607666016
 2887.69653320312500000     ,           0.87965691089630127
 2063.77978515625000000     ,           0.90788388252258301
 1385.91259765625000000     ,           0.93194031715393066
  855.36181640625000000     ,           0.95182150602340698
  467.33349609375000000     ,           0.96764522790908813
  210.39389038085937500     ,           0.97966271638870239
   65.88923645019531250     ,           0.98827010393142700
    7.36774253845214844     ,           0.99401944875717163
    0.00000000000000000     ,           0.99763011932373047
    0.00000000000000000     ,           1.00000000000000000
